24-nov.,,819,3010,,,0,2602,4566,1513,"27,21%",485,12,78475,55999,1685,20791,,,,,,,,
23-nov.,,596,2760,,,0,2602,4566,1513,"21,59%",555,8,77656,55514,1673,20469,,,,,,,,
22-nov.,,619,2884,,,0,2602,4566,1513,"21,46%",503,5,77060,54959,1665,20436,,,,,,,,
21-nov.,,799,2748,,,0,2602,4566,1513,"29,08%",486,5,76441,54456,1660,20325,,,,,,,,
20-nov.,,563,2522,,,0,2602,4566,1513,"22,32%",442,11,75642,53970,1655,20017,,,,,,,,
19-nov.,,856,3261,,,0,2602,4566,1513,"26,25%",452,12,75079,53528,1644,19907,,,,,,,,
18-nov.,,782,3010,,,0,2602,4566,1513,"25,98%",426,11,74223,53076,1632,19515,,,,,,,,
17-nov.,,758,2901,,,0,2602,4566,1513,"26,13%",406,11,73441,52650,1621,19170,,,,,,,,
16-nov.,,525,3252,,,0,2602,4566,1513,"16,14%",401,15,72683,52244,1610,18829,,,,,,,,
15-nov.,,509,1547,,,0,2602,4566,1513,"32,90%",410,18,72158,51843,1595,18720,,,,,,,,
14-nov.,,673,2589,,,0,2602,4566,1513,"25,99%",451,13,71649,51433,1577,18639,,,,,,,,
13-nov.,,739,2910,,,0,2602,4566,1513,"25,40%",469,13,70976,50982,1564,18430,,,,,,,,
12-nov.,,739,2910,,,0,2602,4566,1513,"25,40%",469,13,70237,50513,1551,18173,,,,,,,,
11-nov.,,547,2.642,,,0,2602,4566,1513,"20,70%",500,11,69498,50044,1538,17916,,,,,,,,
11-nov.,,609,2696,,,0,2602,4566,1513,"22,59%",506,16,68951,49544,1527,17880,,,,,,,,
10-nov.,,549,2239,,,0,2602,4566,1513,"24,52%",602,14,68342,49038,1511,17793,,,,,,,,
9-nov.,,359,2488,,,0,2602,4566,1513,"14,43%",615,12,67793,48436,1497,17860,,,,,,,,
8-nov.,,648,2581,,,0,2602,4566,1513,"25,11%",668,11,67434,47821,1485,18128,,,,,,,,
7-nov.,,460,2635,,,0,2602,4566,1513,"17,46%",688,7,66786,47153,1474,18159,,,,,,,,
6-nov.,,703,2928,,,0,2602,4566,1513,"24,01%",672,10,66326,46465,1467,18394,,,,,,,,
5-nov.,,520,2823,,,0,2602,4566,1513,"18,42%",651,8,65623,45793,1457,18373,,,,,,,,
4-nov.,,630,2724,,,0,2602,4566,1513,"23,13%",620,13,65103,45142,1449,18512,,,,,,,,
3-nov.,,472,3003,,,0,2602,4566,1513,"15,72%",517,12,64473,44522,1436,18515,,,,,,,,
2-nov.,,425,1535,,,0,2602,4566,1513,"27,69%",603,11,64001,44005,1424,18572,,,,,,,,
